user_id,event_name,event_time,treatment
u100000,signup,2025-02-07T00:00:00,1
u100000,first_deposit,2025-02-13T00:00:00,1
u100001,signup,2025-03-21T00:00:00,0
u100001,activate,2025-03-28T00:00:00,0
u100002,signup,2025-01-07T00:00:00,1
u100003,signup,2025-03-26T00:00:00,0
u100003,first_deposit,2025-05-16T00:00:00,0
u100004,signup,2025-03-10T00:00:00,0
u100004,activate,2025-03-17T00:00:00,0
u100005,signup,2025-03-28T00:00:00,1
u100006,signup,2025-01-23T00:00:00,1
u100007,signup,2025-03-30T00:00:00,0
u100007,activate,2025-04-08T00:00:00,0
u100008,signup,2025-03-13T00:00:00,0
u100009,signup,2025-03-10T00:00:00,0
u100009,activate,2025-03-20T00:00:00,0
u100010,signup,2025-04-20T00:00:00,0
u100011,signup,2025-01-26T00:00:00,0
u100011,first_deposit,2025-02-18T00:00:00,0
u100012,signup,2025-01-10T00:00:00,0
u100012,first_deposit,2025-02-07T00:00:00,0
u100013,signup,2025-02-07T00:00:00,0
u100014,signup,2025-01-11T00:00:00,0
u100014,activate,2025-01-20T00:00:00,0
u100015,signup,2025-04-03T00:00:00,1
u100015,first_deposit,2025-05-29T00:00:00,1
u100016,signup,2025-03-07T00:00:00,1
u100016,activate,2025-03-15T00:00:00,1
u100017,signup,2025-01-07T00:00:00,1
u100017,activate,2025-01-19T00:00:00,1
u100017,first_deposit,2025-03-24T00:00:00,1
u100018,signup,2025-01-08T00:00:00,1
u100018,activate,2025-01-19T00:00:00,1
u100019,signup,2025-02-06T00:00:00,1
u100020,signup,2025-03-24T00:00:00,1
u100020,activate,2025-04-05T00:00:00,1
u100021,signup,2025-01-25T00:00:00,0
u100021,activate,2025-02-06T00:00:00,0
u100022,signup,2025-03-02T00:00:00,1
u100023,signup,2025-04-19T00:00:00,1
u100023,activate,2025-04-25T00:00:00,1
u100024,signup,2025-03-24T00:00:00,0
u100025,signup,2025-02-24T00:00:00,0
u100026,signup,2025-02-18T00:00:00,0
u100027,signup,2025-02-23T00:00:00,1
u100027,activate,2025-03-08T00:00:00,1
u100028,signup,2025-01-22T00:00:00,1
u100028,activate,2025-01-31T00:00:00,1
u100029,signup,2025-01-14T00:00:00,1
u100029,activate,2025-01-27T00:00:00,1
u100030,signup,2025-01-16T00:00:00,1
u100030,first_deposit,2025-03-27T00:00:00,1
u100031,signup,2025-02-06T00:00:00,0
u100031,activate,2025-02-19T00:00:00,0
u100031,first_deposit,2025-03-26T00:00:00,0
u100032,signup,2025-03-19T00:00:00,1
u100032,first_deposit,2025-05-04T00:00:00,1
u100033,signup,2025-03-09T00:00:00,1
u100033,activate,2025-03-09T00:00:00,1
u100033,first_deposit,2025-05-24T00:00:00,1
u100034,signup,2025-02-05T00:00:00,0
u100035,signup,2025-02-18T00:00:00,1
u100035,activate,2025-02-25T00:00:00,1
u100035,first_deposit,2025-03-19T00:00:00,1
u100036,signup,2025-04-05T00:00:00,0
u100036,activate,2025-04-05T00:00:00,0
u100037,signup,2025-03-19T00:00:00,1
u100037,activate,2025-03-31T00:00:00,1
u100037,first_deposit,2025-04-09T00:00:00,1
u100038,signup,2025-02-14T00:00:00,0
u100038,activate,2025-02-17T00:00:00,0
u100039,signup,2025-01-27T00:00:00,1
u100039,activate,2025-02-01T00:00:00,1
u100040,signup,2025-03-02T00:00:00,0
u100040,activate,2025-03-02T00:00:00,0
u100041,signup,2025-01-25T00:00:00,1
u100041,first_deposit,2025-01-31T00:00:00,1
u100042,signup,2025-03-21T00:00:00,1
u100042,activate,2025-03-31T00:00:00,1
u100043,signup,2025-03-30T00:00:00,0
u100043,activate,2025-03-30T00:00:00,0
u100044,signup,2025-03-20T00:00:00,0
u100044,activate,2025-04-01T00:00:00,0
u100045,signup,2025-02-11T00:00:00,0
u100045,activate,2025-02-17T00:00:00,0
u100045,first_deposit,2025-04-03T00:00:00,0
u100046,signup,2025-03-04T00:00:00,1
u100046,activate,2025-03-10T00:00:00,1
u100047,signup,2025-01-20T00:00:00,1
u100047,activate,2025-01-30T00:00:00,1
u100048,signup,2025-01-24T00:00:00,1
u100048,activate,2025-02-05T00:00:00,1
u100048,first_deposit,2025-04-23T00:00:00,1
u100049,signup,2025-03-22T00:00:00,1
u100050,signup,2025-03-19T00:00:00,0
u100050,activate,2025-03-28T00:00:00,0
u100051,signup,2025-04-25T00:00:00,0
u100051,activate,2025-05-01T00:00:00,0
u100052,signup,2025-03-18T00:00:00,0
u100052,first_deposit,2025-06-14T00:00:00,0
